id,no,POS,type,word,url,word_used,comment,not_duplicate,speaker_visible,hands_visible,hands_free,gesture,iconic_gesture,gesture_description,beat,deictic,metaphor,pantomime,modelling,depiction,context,unscripted interview,presenting camera,presenting screen,giving speech,speaking in court,semi-scripted,scripted acting
1,1,verb,non_iconic,ordain,https://archive.org/download/KPIX_20200126_133000_Mosaic/KPIX_20200126_133000_Mosaic.mp4?t=83/143&ignore=x.mp4,1,,1,1,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
2,2,verb,non_iconic,ordain,https://ia802801.us.archive.org/9/items/KPIX_20200202_133000_Mosaic/KPIX_20200202_133000_Mosaic.mp4?start=862&end=932&ignore=x.mp4,1,First eligible instance / 0.20,1,1,1,1,1,0,Beat,1,0,0,0,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
3,2.2,verb,non_iconic,ordain,https://ia802801.us.archive.org/9/items/KPIX_20200202_133000_Mosaic/KPIX_20200202_133000_Mosaic.mp4?start=862&end=932&ignore=x.mp4,1,Second eligible instance / 0.26 / camera cuts but you can see he makes a beat,1,1,1,1,1,0,Beat,1,0,0,0,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
4,3,verb,non_iconic,ordain,https://archive.org/download/KPIX_20220403_123000_Mosaic/KPIX_20220403_123000_Mosaic.mp4?t=845/905&ignore=x.mp4,1,Duplicate of above,0,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
5,4,verb,non_iconic,ordain,https://archive.org/download/KPIX_20220605_123000_Mosaic/KPIX_20220605_123000_Mosaic.mp4?t=767/827&ignore=x.mp4,1,,1,1,1,1,1,0,Beat,1,0,0,0,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
6,5,verb,non_iconic,ordain,https://archive.org/download/WHUT_20100118_030000_Religion__Ethics_Newsweekly/WHUT_20100118_030000_Religion__Ethics_Newsweekly.mp4?t=25/85&ignore=x.mp4,1,,1,0,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
7,6,verb,non_iconic,ordain,https://archive.org/download/KPIX_20120603_120000_Mosaic/KPIX_20120603_120000_Mosaic.mp4?t=1404/1464&ignore=x.mp4,1,Says ordained,1,1,1,1,1,0,Beat,1,0,0,0,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
8,7,verb,non_iconic,ordain,https://archive.org/download/CSPAN3_20160326_021500_American_Artifacts/CSPAN3_20160326_021500_American_Artifacts.mp4?t=675/735&ignore=x.mp4,1,,1,0,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
9,8,verb,non_iconic,ordain,https://archive.org/download/CSPAN2_20130325_100000_Book_TV/CSPAN2_20130325_100000_Book_TV.mp4?t=2219/2279&ignore=x.mp4,1,,1,1,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
10,9,verb,non_iconic,ordain,https://archive.org/download/KGO_20130504_130000_ABC7_News_600AM/KGO_20130504_130000_ABC7_News_600AM.mp4?t=2504/2564&ignore=x.mp4,1,Says ordained,1,1,1,1,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
11,10,verb,non_iconic,ordain,https://archive.org/download/KQEH_20100716_073000_BBC_World_News/KQEH_20100716_073000_BBC_World_News.mp4?t=1120/1180&ignore=x.mp4,1,Says ordained,1,1,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
12,11,verb,non_iconic,ordain,https://archive.org/download/CNN_20090907_020000_CNN_Newsroom/CNN_20090907_020000_CNN_Newsroom.mp4?t=1614/1674&ignore=x.mp4,1,Repeats and hands visible at 0.08 / says ordaining,1,1,1,1,1,0,"Moves finger in a circle, could be construed as iconic in a different context (e.g. to mean repeat or sthing) but seems in this case to only be a beat",1,0,0,0,0,0,"Scripted acting in advert, sitcom, music video, etc.",0,0,0,0,0,0,1
13,12,verb,non_iconic,ordain,https://archive.org/download/BBCNEWS_20191006_100000_BBC_News/BBCNEWS_20191006_100000_BBC_News.mp4?t=774/834&ignore=x.mp4,1,Says ordained,1,1,1,1,1,0,Double handed beat,1,0,0,0,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
14,13,verb,non_iconic,ordain,https://archive.org/download/CNN_20100918_180000_CNN_Newsroom/CNN_20100918_180000_CNN_Newsroom.mp4?t=3458/3518&ignore=x.mp4,1,,1,0,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
15,14,verb,non_iconic,ordain,https://archive.org/download/KOFY_20100718_133000_Christian_World_News/KOFY_20100718_133000_Christian_World_News.mp4?t=606/666&ignore=x.mp4,1,,1,1,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
16,15,verb,non_iconic,ordain,https://archive.org/download/KRCB_20130113_180000_Religion__Ethics_Newsweekly/KRCB_20130113_180000_Religion__Ethics_Newsweekly.mp4?t=1074/1134&ignore=x.mp4,1,,1,0,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
17,16,verb,non_iconic,ordain,https://archive.org/download/KGO_20130503_230000_ABC7_News_400PM/KGO_20130503_230000_ABC7_News_400PM.mp4?t=3438/3498&ignore=x.mp4,1,,0,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
18,17,verb,non_iconic,ordain,https://archive.org/download/CSPAN3_20160307_030000_American_Artifacts/CSPAN3_20160307_030000_American_Artifacts.mp4?t=1300/1360&ignore=x.mp4,1,,0,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
19,18,verb,non_iconic,ordain,https://archive.org/download/KPIX_20121223_130000_Mosaic/KPIX_20121223_130000_Mosaic.mp4?t=1521/1581&ignore=x.mp4,1,,1,1,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
20,19,verb,non_iconic,ordain,https://archive.org/download/CNN_20090907_050000_State_of_the_Union_With_John_King/CNN_20090907_050000_State_of_the_Union_With_John_King.mp4?t=20/80&ignore=x.mp4,1,,1,1,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
21,20,verb,non_iconic,ordain,https://archive.org/download/LINKTV_20150924_150000_Democracy_Now/LINKTV_20150924_150000_Democracy_Now.mp4?t=211/271&ignore=x.mp4,1,,1,1,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
22,21,verb,non_iconic,ordain,https://archive.org/download/BBCNEWS_20191006_110000_BBC_News/BBCNEWS_20191006_110000_BBC_News.mp4?t=729/789&ignore=x.mp4,1,Speaker is visible but facing the wrong way so counting it out,1,1,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
23,22,verb,non_iconic,ordain,https://archive.org/download/BBCNEWS_20210305_210000_BBC_News/BBCNEWS_20210305_210000_BBC_News.mp4?t=328/388&ignore=x.mp4,1,,1,1,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
24,23,verb,non_iconic,ordain,https://archive.org/download/KPIX_20170730_120000_Mosaic/KPIX_20170730_120000_Mosaic.mp4?t=571/631&ignore=x.mp4,1,,1,1,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
