type,word,n,gesture_proportion,iconic_gesture_proportion,other_proportion
non-iconic word,said,303,0.36633663366336633,0.04950495049504951,0.31683168316831684
iconic word,spank,97,0.6907216494845361,0.12371134020618557,0.5670103092783505
iconic word,slushy,67,0.7313432835820896,0.11940298507462686,0.6119402985074627
non-iconic word,realize,58,0.603448275862069,0.06896551724137931,0.5172413793103449
non-iconic word,inform,57,0.15789473684210525,0.10526315789473684,0.05263157894736842
non-iconic word,wearing,56,0.7142857142857143,0.05357142857142857,0.6607142857142857
iconic word,yucky,56,0.4642857142857143,0.03571428571428571,0.42857142857142855
non-iconic word,knew,54,0.5925925925925926,0.07407407407407407,0.5185185185185185
non-iconic word,filling,51,0.7843137254901961,0.13725490196078433,0.6470588235294118
non-iconic word,other,50,0.66,0.18,0.48
non-iconic word,exact,46,0.8260869565217391,0.21739130434782608,0.6086956521739131
non-iconic word,grateful,43,0.27906976744186046,0.046511627906976744,0.23255813953488372
non-iconic word,prevail,40,0.35,0,0.35
iconic word,squish,37,0.8918918918918919,0.8108108108108109,0.08108108108108109
non-iconic word,tamper,36,0.6388888888888888,0.2222222222222222,0.4166666666666667
iconic word,splotch,36,0.9444444444444444,0.2777777777777778,0.6666666666666666
non-iconic word,put,35,0.7714285714285715,0.42857142857142855,0.34285714285714286
non-iconic word,confirmed,34,0.47058823529411764,0.058823529411764705,0.4117647058823529
non-iconic word,rejoin,34,0.5,0.058823529411764705,0.4411764705882353
non-iconic word,discern,32,0.78125,0.21875,0.5625
non-iconic word,jealous,30,0.4666666666666667,0.1,0.36666666666666664
iconic word,puffy,24,0.5416666666666666,0.08333333333333333,0.4583333333333333
non-iconic word,covet,22,0.6363636363636364,0.09090909090909091,0.5454545454545454
non-iconic word,ordain,21,0.7619047619047619,0,0.7619047619047619
iconic word,swish,21,0.7142857142857143,0.2857142857142857,0.42857142857142855
iconic word,wring,21,0.8095238095238095,0.5238095238095238,0.2857142857142857
iconic word,saggy,17,0.35294117647058826,0,0.35294117647058826
iconic word,swoosh,15,0.6666666666666666,0.13333333333333333,0.5333333333333333
iconic word,zap,15,0.8666666666666667,0.3333333333333333,0.5333333333333333
non-iconic word,outwit,14,0.5714285714285714,0.07142857142857142,0.5
iconic word,chomp,14,0.9285714285714286,0.35714285714285715,0.5714285714285714
iconic word,crispy,14,0.7142857142857143,0.07142857142857142,0.6428571428571429
non-iconic word,absent,13,0.07692307692307693,0,0.07692307692307693
iconic word,wheeze,13,0.38461538461538464,0.07692307692307693,0.3076923076923077
iconic word,woof,13,0.6153846153846154,0.38461538461538464,0.23076923076923078
non-iconic word,sullen,11,0.45454545454545453,0,0.45454545454545453
iconic word,barking,11,0.6363636363636364,0,0.6363636363636364
non-iconic word,acquaint,8,0.625,0,0.625
iconic word,bang,6,1,0.8333333333333334,0.16666666666666666
iconic word,munch,5,0.6,0.2,0.4
iconic word,plump,5,0.8,0,0.8
iconic word,wobbly,5,0.8,0.6,0.2
non-iconic word,barren,3,0.6666666666666666,0.3333333333333333,0.3333333333333333
iconic word,snap,2,1,0,1
iconic word,gooey,1,0,0,0
