id,no,SUBTLEX POS,type,word,url,word_used,comment,not_duplicate,speaker_visible,hands_visible,hands_free,syntactically integrated,transcript,POS,word in use,morphology,quotative_verb,left_edge,right_edge,repetition,gesture,iconic_gesture,gesture_description,beat,deictic,metaphor,pantomime,modelling,depiction,context,unscripted interview,presenting camera,presenting screen,giving speech,speaking in court,semi-scripted,scripted acting
3546,18,verb,high gesture,bang,https://archive.org/download/WNCN_20161127_153000_Face_the_Nation/WNCN_20161127_153000_Face_the_Nation.mp4?t=1896/1956&ignore=x.mp4,1,"Repeats / Acting so not spontaneous, also slightly out of sync?",1,1,1,1,N,"bang, bang bang bang, bang, bang bang, bang, bang, bang, bang",interjection,bang,N,N,Y,Y,Y,1,1,Modelling: Finger gun gesture,0,0,0,0,1,0,"Scripted acting in advert, sitcom, music video, etc.",0,0,0,0,0,0,1
3584,54,verb,high gesture,bang,https://archive.org/download/MSNBCW_20171111_100000_Dateline/MSNBCW_20171111_100000_Dateline.mp4?t=37/97&ignore=x.mp4,1,Repeats but at once / are hands visible enough?,1,1,1,1,N,it wasn't like bang bang bang bang,interjection,bang,N,Y,Y,Y,Y,1,0,"Moves hands from left to right, slightly obscured",0,0,0,0,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
3593,63,verb,high gesture,bang,https://archive.org/download/WTXF_20170207_053000_Chasing_News/WTXF_20170207_053000_Chasing_News.mp4?t=904/964&ignore=x.mp4,1,First instance: 0.04 / does it cut too late?,1,1,1,1,Y,"banging away, banging away, banging away, banging away, banging away, and then",verb,banging,Y,N,Y,N,N,1,1,Pantomiming using a hammer or axe / repeated,0,0,0,1,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
3594,63.2,verb,high gesture,bang,https://archive.org/download/WTXF_20170207_053000_Chasing_News/WTXF_20170207_053000_Chasing_News.mp4?t=904/964&ignore=x.mp4,1,Second instance: 0.05 / does it cut too early?,1,1,1,1,Y,"banging away, banging away, banging away, banging away, banging away, and then",verb,banging,Y,N,Y,N,N,1,1,Pantomiming using a hammer or axe / repeated,0,0,0,1,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
3595,63.3,verb,high gesture,bang,https://archive.org/download/WTXF_20170207_053000_Chasing_News/WTXF_20170207_053000_Chasing_News.mp4?t=904/964&ignore=x.mp4,1,Third instance: 0.07 / the only instance of a clear gesture,1,1,1,1,Y,"banging away, banging away, banging away, banging away, banging away, and then",verb,banging,Y,N,Y,N,N,1,1,Pantomiming using a hammer or axe / repeated,0,0,0,1,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
3622,90,verb,high gesture,bang,https://archive.org/download/KTVU_20140827_160000_RightThisMinute/KTVU_20140827_160000_RightThisMinute.mp4?t=1592/1652&ignore=x.mp4,1,Repeats / Speaker visible from a distance,1,1,1,1,N,"introduced to the crowd here, billy bang / woo / bang, bang",interjection,bang,N,N,Y,Y,Y,1,1,Modelling: Finger gun gesture,0,0,0,0,1,0,Presenting to camera,0,1,0,0,0,0,0
3761,17.2,verb,high gesture,squish,https://ia802304.us.archive.org/14/items/KGO_20120912_230000_ABC7_News_400PM/KGO_20120912_230000_ABC7_News_400PM.mp4?start=1092&end=1162&ignore=x.mp4,1,Second instance: 0.10 / highlights the word,1,1,1,1,Y,"yesterday we were talking about this, this, high pressure ridge that was gonna squish, or compress, the marine layer",verb,squish,N,N,N,N,N,1,1,"Pantomime: Pushes both hands downwards, palms facing down",0,0,0,1,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
3762,17.3,verb,high gesture,squish,https://ia802304.us.archive.org/14/items/KGO_20120912_230000_ABC7_News_400PM/KGO_20120912_230000_ABC7_News_400PM.mp4?start=1092&end=1162&ignore=x.mp4,1,Third instance: 0.16 / highlights the word,1,1,1,1,Y,"but it, it's getting squished now",adjective,squished,Y,N,N,N,N,1,1,"Pantomime: Pushes between left and right hand, one atop the other, palms facing each other",0,0,0,1,0,0,Unscripted interview or conversation,1,0,0,0,0,0,0
3767,22,verb,high gesture,squish,https://archive.org/download/WTTG_20130216_043500_Noticiero_Uni/WTTG_20130216_043500_Noticiero_Uni.mp4?t=630/690&ignore=x.mp4,1,Repeats and eventually hands visible,1,1,1,1,Y,since when is just boobs squishing? It's not just,verb,squishing,Y,N,N,Y,N,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
3775,29.2,verb,high gesture,squish,https://archive.org/download/KTVU_20210315_060000_The_Eleven_OClock_News_on_KTVU_FOX_2/KTVU_20210315_060000_The_Eleven_OClock_News_on_KTVU_FOX_2.mp4?t=1120/1180&ignore=x.mp4,1,Second instance: 0.08,1,1,1,1,Y,"when they squish, they get their arms open",verb,squish,N,N,N,Y,N,1,1,Obscured slightly but he's talking about movement of air pressure and he moves his hands to depict it / this movement is actually outwards so begins from a squished state,0,0,0,0,0,1,Presenting to camera,0,1,0,0,0,0,0
